year,state,state_name,summary,duration_seconds
2022,PA,Pennsylvania,Ball of intense light levatates up toward sky. couldnt have been anything like a plane,900
2022,NY,New York,star-like ball of light travelling in a b-line in a NE direction from Lake Erie direction against the wind,300
2022,PA,Pennsylvania,Two stars moving slowly one got very bright then both disappeared,60
2022,MO,Missouri,Bright yellow Light moving at steady speed across field.,180
2022,CA,California,It came from SW Direction heading NE with wrapping flashing lights that change colors every so often.,300
2022,WA,Washington,Light Craft,86400
2022,PA,Pennsylvania,Circular light resembling a star moving very erratically in the sky.,300
2022,OH,Ohio,Looked like a regular star in the sky,900
2022,MT,Montana,"This was above the concert Chicago, others may have seen - hundreds were there",1800
2022,CA,California,Twinkling lights that changes color a,1800
2022,NC,North Carolina,Satellite with red and blue lights flew close by then 3 distant satellites disappeared within seconds of each other,900
2022,MA,Massachusetts,"I saw what appeared to be a star, but it was moving in very weird directions",60
2022,IL,Illinois,Several stars are continuing to move over our house in different directions and are changing direction at extremely fast rates.,600
2022,MI,Michigan,Undercover Satellite,25
2022,PA,Pennsylvania,It moved very very fast,5
2022,TN,Tennessee,Bright light i saw for 1 or 2 seconds. Looked like a very bright star. The. Shot straight up into the night sky. Getting smaller,1.5
2022,NE,Nebraska,Video shows an object rotating at considerably fast speeds and seemingly stretchs as it moves at the 3 second mark.,4
2022,CA,California,It was moving slowly west. Changing color from red to white. It was also moving up and down,900
2022,TX,Texas,Taking out trash saw a beam,2400
2022,LA,Louisiana,Walking my dog looked up and saw what I thought was a balloon floating by but as I watched it I noticed it zoomed back and forth.,1800
2022,OH,Ohio,looked like A very very bright Venus in the northern sky,60
2022,NC,North Carolina,Bright object was stationary in the sky and all of a sudden disappeared,300
2022,MI,Michigan,Connected lights in the sky.,180
2022,LA,Louisiana,Bright ball of light appeared twice. First time was under a minute. Second time for about 10 seconds.,300
2022,CA,California,It pulsates and spins in a circle emitting a soundwave,86400
2022,MN,Minnesota,UFO and separate UFO light,600
2022,NY,New York,pulsating yellow/white/orange light quickly changing directions,900
2022,MO,Missouri,Two stars light lights traveling northeast.,240
2022,TX,Texas,I tried to get my husband and neighbor but they were too slow (asleep),1200
2022,NH,New Hampshire,A strange star that Vanished,10
2022,CA,California,Many red lights on the east side of Audubon that looked almost like stars that formed a disorganized triangle.,300
2022,TX,Texas,Beautiful LARGE white-tailed shooting star,7
2022,SC,South Carolina,"Color changing orb hovering at 1000 ft, then split into 4 orange orbs and slowly moved toward the east as one big orb",300
2022,NC,North Carolina,Large glowing yellow round star shape floating and moving above the beach and shore.,120
2021,OH,Ohio,What I thought was a shooting star bounced and sped away in a different direction faster than it was moving before,15
2021,TX,Texas,"Early morning, full moon star on left of moon started moving from our left to our right, crossing in front of the moon and continued",29
2018,NC,North Carolina,Blue Light Went Through My Window,600
2022,VA,Virginia,Two objects moving east to west that had a solid string of blue light coming down from them.,45
2022,TX,Texas,Miles highschool track Field Heading North at 100° from horizon,2
2022,MA,Massachusetts,I was driving coming on to rt 30 when I looked up I could see a tear drop shaped orb that had a bluish green light tail.,4
2022,UT,Utah,It was moving quickly but then just stopped as I noticed it? I started taking pics then recording. It was bright but then dimmed.,600
2022,OR,Oregon,Moved up down and sideways the disappeared,240
2022,UT,Utah,Saw a unidentified object moving silently through the sky above tree level.,300
2022,NH,New Hampshire,Upon driving thru multiple towns an object that was well lit followed me three nights in a row,259200
2022,NC,North Carolina,"Sitting on rooftop of office saw objecting flying slow over the city, once it got outside the city it lowered down.",240
2022,NV,Nevada,Very large type of unexplainable thing that looked like a UFO,20
2022,GA,Georgia,I caught this on my security camera. Time was actually about 9:59pm,20
2022,WA,Washington,A UAP- flying object that looks like a white color teardrop with a trail when moving fast. And no trail at some points of it's maneuver,300
2022,OR,Oregon,"Blackbean shaped object, round on top, more angular toward bottom.",600
2022,NY,New York,Driving on the highway- I saw a teardrop craft that crossed the length of the sky in less than 2 seconds.,3
2021,CA,California,Bright object seen for several minutes in western sky,900
2021,CT,Connecticut,My boyfriend and I were walking the Quinebaug Trail in Plainfield Connecticut and I took a picture of the sun rays coming through the t,120
2021,TX,Texas,Driving in my car I saw a black object floating in the sky over a field.   I pulled over to get a better look.  It was moving but not v,600
2021,WA,Washington,was driving to work i looked up and saw 3 teardrop shaped crafts that were rockets a few mile apart from each other in guessing I drove,5
2021,IL,Illinois,Teardrop/tic-tac spotted with a greenish white tail as it vanished into thin air.,900
2021,OH,Ohio,Three small craft moving silently over railroad tracks,240
2021,TX,Texas,"White egg/teardrop craft seen hovering near Abilene, TX",600
2021,AZ,Arizona,Super bright inverted teardrop in western sky for over 30 minutes,2700
2021,CA,California,UFO over Ontario California,600
2021,NY,New York,"UFO 20 of them with unique moves of t;Understanding, Dancing maybe as if I was watching and they KNEW  ((Starlink satellites??))",240
2021,CT,Connecticut,Me and My fiance seen a craft the size of a football field glide silently over the road in front of our car.,10
2021,FL,Florida,"At 9:25am, I was backing out of driveway, I looked up to my left, and at about 1-2 miles in the air at 10:00 (time Angle), I saw a tear",40
2020,FL,Florida,"At 20:00 pm on the 29th of Dec 2020.

I heard a swishing sound coming from our side of my home .

I went to investigate looking up",180
2020,CA,California,Helicopter seen following an elongated teardrop UFO,30
2020,OH,Ohio,Dark teardrop shaped object flew fast close to the ground had blue lights on front of it and moved silently craft was very dark and eas,10
2020,OH,Ohio,Traveling east on Rt 36 I saw 3 silver teardrop shaped objects in the sky. Pulled into a parking lot to watch them. There were several,1800
2020,OR,Oregon,White with blueish hint comet looking thing flew past me and my friend,2
2020,CT,Connecticut,Yellow Orange glowing tear shaped object moving east 500 feet away 500 feet off the ground at approximately 35 knots in a straight dire,5
2020,OR,Oregon,Silver or lighted object in the sky for 45. min that was in the shape of an upside down tear drop,2700
2020,MI,Michigan,Was on Moore's River Dr in Lansing on the first dock At river around 2:30 am I got out of my vehicle to look out into the river. Anothe,1.5
2020,FL,Florida,Bright White/Orange teardrop turned starburst light moving slowly before changing directions twice and speeding off.,300
2020,MT,Montana,My husband and I were driving North on I-90 towards Billings. We were right outside of town and I saw a teardrop shap in the sky. It wa,172800
2020,KS,Kansas,"Mysterious yellow teardrop shaped UFO Lawrence, Kansas",7
2020,NC,North Carolina,"Observed a large, bright light in night sky descend then zip off. The flight path resembled that of the Nike swoosh emblem.",15
2020,CA,California,"7 fireballs seen coming our way, Came over our heads, we could see bottom of crafts. No sound",480
2020,NV,Nevada,Bright white circular object with short contrail standing still in the sky with N/S trajectory,360
2020,NV,Nevada,"At approximately 16:30 on 07/03/20, whole driving northbound on Maryland Pky/ Paradise rd (cross street Windmill), I observed a bright",360
2020,NM,New Mexico,There's been odd blueish white tear drops gilding across abq towards the NE heights every 6-10 mins one by one We first witnessed 1 at,7200
2020,NY,New York,A white teardrop looking object shot through the night sky lasting about 5 seconds. It appeared suddenly and flew by quickly. Must have,5
2020,GA,Georgia,Ok here we go again..this object was like a comet but at the height or altitude of a plane. It had light behind it as if it was a comet,120
2020,NC,North Carolina,Saw spear or teardrop structure streaming across the sky with a vapor trail and cast off glare from the rising sun. The object was head,120
2020,WI,Wisconsin,"I was drivinh down 29 towards ChippewaFalls around 2am saw a glowing blood orangish colored, kinda triangle shaped but circular on the",600
2020,DE,Delaware,My little brother was gazing in the sky and saw something flying in the atmosphere and told me to look to my surprise when I looked was,2700
2020,CA,California,"Now.. it could have been a fizzed out firework rocket.. but.. hmmm.

Ok. I am parked in our driveway..front of my car facing west. An",1.5
2020,TX,Texas,Iwas doing a little late night stargazing. When i caught sight of rhis very strange looking craft again. I've only seen this type of UF,1800
2020,IN,Indiana,Teardrop shaped orb of light at non human speed then vanished.,6
2020,OK,Oklahoma,Red yellow orb travels erratically.,300
2020,TX,Texas,Glowing object that a perfect teardrop light descended from.,480
2020,MI,Michigan,Unusual aircraft captured by video,60
2020,WA,Washington,Several black objects like a string of beads disappeared .,5
2020,WA,Washington,"Teardrop like shape traveling east coming from the West. Object was moving fast and low, approximately 100 to 200 feet off the ground.",5
2020,MN,Minnesota,Hovering craft with bright light over Lake elmo,60
2020,CA,California,"Large glowing green, comet shaped object, flying North over Redlands and then winks out of existence before reaching the horizon.",3
2020,UT,Utah,"Teardrop shaped object, Green River, Utah.",8
2020,TX,Texas,Teardrop craft and fast moving interception by line shaped craft followed by increased airplane activity,600
2019,CO,Colorado,"Noticed a bright light Similar to a plane when its facing you, and then a second later it dropped really fast and disappeared.",60
2019,CA,California,"Silent, oblong-shaped bioluminescent-colored glowing disc observed flying northwest toward Santa Monica Mountains at dawn.",8
2019,VA,Virginia,The craft was a circle then forming into a teardrop shape then back to a circle.,1500
2019,CA,California,White glowing object over the night sky,1200
2019,AZ,Arizona,Three (3) unknown speeding craft(s).,20
2019,NV,Nevada,Very large silver flying aircraft teardrop in shape appeared overhead while pulling into driveway at approximately 6:40p.,5
2019,UT,Utah,Bright almost circular light in the sky while driving on I-215,5
2019,TX,Texas,"Saw a teardrop aircraft appear in the sky with 1, maybe 2, lights underneath it.It appeared out of nowhere and then just like something",2
2019,NM,New Mexico,Inverted teardrop with 'Y' shaped shadow changed color/reflectivity with the sunset.,1800
2019,NM,New Mexico,Inverted teardrop with 'Y' shaped shadow changed color/reflectivity with the sunset,1800
2019,NM,New Mexico,"My husband and I saw an extremely bright light in the shape of a teardrop. It resembled a hot air balloon. After about an hour, it turn",5400
2019,NM,New Mexico,"Before sunset,in the sky we saw a tear drop shaped shining bright white (kind of resembling a huge hot air balloon),not moving at all.",2700
2019,MN,Minnesota,Am not quite sure what I saw on Saturday.  it was very odd.  I was laying back in my reclining chair on Saturday at the campground look,15
2019,AZ,Arizona,"6 Silver Irregular Flying Objects Zig-Zagging Over Scottsdale, AZ",600
2019,NV,Nevada,"Looked comets falling straight down from a plane then they stopped before hitting ground hovered,  ((anonymous report))",7
2019,WI,Wisconsin,Multiple white teardrop shaped lights,120
2019,CA,California,The space craft looked just like the craft in the movie Predator.,5
2019,GA,Georgia,Huge bluish oval object with neon green crescent tip shot/whistled from horizon almost a mile up in about 2 seconds and disappeared.,2
2019,MI,Michigan,Another One Drops On Us! And another one drops....and another one.....,3
2019,IL,Illinois,Saw flying glowing object above in the sky not so high above.  It was about ten steps away from me. ((anonymous report)),5
2019,NJ,New Jersey,"Bright light similar in color to the moon just a brighter white light. It flew what seemed to be a lot lower than the stars in the sky,",2
2019,MI,Michigan,Black round in front & 1/2 diamond shape in the back.crossed the sky cutting thru the clouds very fast and silent.,5
2019,CA,California,Teardrop shaped object seen flying over beach,5
2019,FL,Florida,Visitor for the heaves before the Falcon Heavy 9 launch on June 25 2019.,139
2019,NC,North Carolina,Observed one object come across the sky right to left with what I thought were white trail from fireworks looked again noticed a red li,240
2019,ID,Idaho,"Object was observed in Challis, ID, at an approx. altitude of 500 meters above town center near courthouse.",360
2019,VA,Virginia,"Vertical craft seen over Atlantic Ocean, Virginia Beach",600
2019,PA,Pennsylvania,Morphing Teardrop UAP hovering in rural PA at sunrise.,1200
2019,VT,Vermont,"Facing east there were two objects bright as a distant star, the same light given off as a satellite.  One was stationary at the 12 oc",300
2019,GA,Georgia,Yellowish teardrop shape with aura falling into the atmosphere.,10
2019,PA,Pennsylvania,"Ok, This happened to me a few days ago and I don't know who to talk to or who would listen, so i'm submitting it here.

So on March 4",30
2019,NY,New York,We both saw a large round-shaped object that had a bit of a point.,60
2018,NY,New York,"((NUFORC Note:  Source, who remains anonymous, fails to provide any information about the alleged sighting incident.  PD))",3
2018,WA,Washington,Bluish green teardrop traveling through sky.,3
2018,PA,Pennsylvania,Blue Teardrop changes direction then disappears,4
2018,PA,Pennsylvania,"On November 17th 2019, my girlfriend and I noticed a fighter jet flying West around 1624hrs. To the South, heading North was an odd sha",45
2018,PA,Pennsylvania,On November 17th 2018 witnessed what we believe is a jet fighter almost colliding with a UFO. I email the picture of the before close c,45
2018,NM,New Mexico,Caught floating guitar shaped light and 3 others appeared move toward earth and disappeared.,2400
2018,UT,Utah,Great balls of fire Kanab.  ((NUFORC Note:  Possible meteor??  PD)),5
2018,SD,South Dakota,Tear drop shape was very brilliant white with red and blue tip.,172800
2018,NE,Nebraska,"Greenish light going through the sky, then a burst of light out the back and took off faster then disappeared.",30
2018,NC,North Carolina,I was driving down Highway 17 in Fairview. When I looked up and saw a teardrop or Starlight shape two white lights one on top one on bo,240
2018,NM,New Mexico,Extremely bright about 1/10th of a solar diameter. No craft was observed,3
2018,FL,Florida,I was fishing on East Lake Toho around 6:30 this afternoon and I saw what looked like a big hot air balloon coming from the S.,180
2018,FL,Florida,"I saw a large tadpole, or teardrop. shaped red-orange fiery looking object.  ((anonymous report))",300
2018,TX,Texas,((HOAX??))  Teardrop type aircraft thing and there was green lights everywhere and then it shot a loser down.  ((anonymous report)),5
2022,AZ,Arizona,"Lights moving so fast, shape unable to be determined. Stopped and changed directions going perpendicular than original",30
2022,NC,North Carolina,3 red lights flying in unison triangle,720
2022,MA,Massachusetts,Triangle shape craft 100 ft away from my house hovering,900
2022,WV,West Virginia,triangle over hospital at night,3
2022,WV,West Virginia,Low level silent triangle shaped exhibiting seemingly impossible acceleration,7
2022,DE,Delaware,Triangle of lights moving above highway,10
2022,MA,Massachusetts,"Triangle shape object,transparent other than lights on corners,no sound.Moving slow East south East.",30
2022,AZ,Arizona,Object moving NE moving and out of atmosphere quickly,3
2022,MT,Montana,Blue triangle of lights,60
2022,OR,Oregon,One side of craft had 2 rows of lights on,120
2022,FL,Florida,Triopd of lights over ocean; non moving,600
2022,IL,Illinois,Triangular object with multiple lights on the underside,180
2022,CA,California,"heading south, about 500 ft above the ground.",10
2022,GA,Georgia,Witnessed a triangular object pulsating with red lights in an irregular way.,60
2022,IN,Indiana,"Three circular lights lined up in a triangular shape, then rotated clockwise",180
2022,AZ,Arizona,"Black triangle with glowing warm orange lights at each corner. Silent, moved across sky. Almost invisible, seemed to be very large.",300
2022,PA,Pennsylvania,3 dim lit orange light under craft no blinking lights flying low and silent,20
2022,GA,Georgia,Triangle shaped aircraft just flew over my house,120
2022,AZ,Arizona,I grew up on a 40 acre parcel of land with three small hills.and saw a UFO come up out of one of them.,120
2022,CA,California,Triangular craft with three white lights on corners of the object.,30
2022,FL,Florida,"Black triangular craft, completely silent with 5 very dimly lit barley visible orange lights on the underside.",6
2022,PA,Pennsylvania,Hovering craft,900
2022,CA,California,Ufo falling from outerspace,300
2022,CT,Connecticut,One flying unidentified object seen. There were blue and red lights flashing. The color changed from blue to red and red to blue quick.,13
