post_id,city,price,beds,baths,sqft
6589209618,san francisco,3775,4,2.5,1836
4834955818,san francisco,6500,3,2,2000
pre2013_57008,san francisco,2500,2,2,1350
4902381890,san francisco,6000,4,2,1042
pre2013_38414,san francisco,3000,3,1,1150
pre2013_38399,san francisco,3990,3,1.5,1953
6493162866,san francisco,5000,3,2,1340
5789504974,san francisco,4600,3,2,1100
3754179971,san francisco,2495,1,1,650
pre2013_48652,san francisco,2500,2,1,850
5439890089,san francisco,4750,3,2,1850
pre2013_39414,san francisco,3100,3,2,1450
pre2013_37148,san francisco,3990,3,3,1953
5537998670,san francisco,5500,3,1,1400
5975740928,san francisco,4200,2,1,1084
pre2013_39799,san francisco,2900,3,2,1200
pre2013_34034,san francisco,3100,3,1,1100
5567449840,san francisco,3095,1,1,675
5832080216,san francisco,3850,3,1,900
3754246908,san francisco,2395,1,1,550
5672580789,san francisco,3400,2,1,1000
5537996017,san francisco,4900,3,1,1400
4812765733,san francisco,5800,4,2,1600
pre2013_65186,san francisco,2995,3,1,1006
4812763888,san francisco,5800,4,2,1600
4247472839,san francisco,1500,2,2,1066
3557109777,san francisco,4700,3,2,1400
4812767373,san francisco,5800,4,2,1600
pre2013_35918,san francisco,3990,3,2.5,1953
5419570250,san francisco,950,2,1.5,960
4988474542,san francisco,4500,2,1.5,1084
5511290432,san francisco,6500,3,2,1700
6597631344,san francisco,4750,2,1,963
5326749514,san francisco,3000,2,1,750
5819422652,boulder cr,2200,2,1,1299
pre2013_19182,boulder cr,1795,2,2,1150
4924694388,boulder cr,2400,2,2,1350
5531716344,boulder cr,4000,4,2,1400
5635968935,boulder cr,2900,2,1,900
4956765511,boulder cr,4000,3,3,2500
5546936685,boulder cr,2000,1,1,800
4833868730,boulder cr,1575,2,1,1000
5469432749,boulder cr,2500,2,1,900
5198596339,boulder cr,2400,2,2,1150
5468639043,boulder cr,2600,3,2,1500
5418575331,boulder cr,1400,1,1,675
5072976641,boulder cr,1500,1,1,651
4834942475,boulder cr,2500,2,1,1100
5054950545,boulder cr,1500,1,1,651
pre2013_17937,boulder cr,2200,3,2.5,1750
5670938610,boulder cr,2900,3,2,1800
pre2013_23744,boulder cr,590,1,1,758
5268635406,boulder cr,3350,3,2,1200
4644912356,boulder cr,2950,3,2,1500
5266938039,boulder cr,3600,3,2,1400
pre2013_63812,brentwood,1500,3,2.5,1400
pre2013_55900,brentwood,1575,3,2,1100
5979794545,brentwood,2195,3,1,1227
4132247672,brentwood,2300,5,3.5,2847
pre2013_19289,brentwood,1450,2,2,1152
pre2013_12766,brentwood,2600,4,3,3700
pre2013_22999,brentwood,1950,4,3,2700
pre2013_154848,brentwood,2080,4,2.5,2500
pre2013_71954,brentwood,1750,4,2.5,1763
pre2013_10457,brentwood,1800,3,2.5,1900
pre2013_10562,brentwood,1000,3,2,1477
4834910284,brentwood,2900,4,3,2900
5470728343,brentwood,1900,2,1,850
pre2013_19005,brentwood,1850,3,2,1800
pre2013_41672,brentwood,2350,4,3.5,2558
4611930600,brentwood,1900,3,1,1706
pre2013_16981,brentwood,1795,4,3,1700
pre2013_62193,brentwood,2550,5,4,4000
pre2013_50597,brentwood,2200,4,2,2168
5628068737,brentwood,1861,2,1,970
pre2013_38458,brentwood,2095,4,3,3109
pre2013_15048,brentwood,1850,4,3,1700
4253295396,brentwood,2695,5,4,3663
5952858460,brentwood,2595,6,3,2449
6505615065,brentwood,2250,3,2,1345
pre2013_12743,brentwood,1950,4,3,2030
4595930048,brentwood,2100,4,2.5,2000
pre2013_36432,brentwood,2990,5,4.5,3990
pre2013_58874,brentwood,1900,4,3,2193
5481534762,brentwood,1850,3,2,1325
4587135946,brentwood,1850,3,2.5,1497
pre2013_69611,brentwood,2200,4,3,2770
pre2013_12777,brentwood,1750,4,2.5,1763
pre2013_38846,brentwood,2100,4,3,2485
pre2013_61359,brentwood,2550,5,4,4000
pre2013_33765,brentwood,2200,4,2.5,2671
pre2013_53872,brentwood,1875,3,3,2000
pre2013_48760,brentwood,1650,4,2,1700
pre2013_44076,brentwood,1495,3,2.5,1419
pre2013_46785,brentwood,2300,4,3,2950
pre2013_65780,brentwood,2395,4,3.5,3747
5628148642,brentwood,1690,1,1,740
4240929227,brentwood,2800,7,5,4351
pre2013_49629,brentwood,1495,3,2,1170
6359732660,brentwood,1732,1,1,715
pre2013_82953,brentwood,2250,4,2.5,2200
pre2013_64920,brentwood,1825,4,2.5,1880
5732757301,brentwood,2390,4,2.5,2082
4623886856,brentwood,2799,5,4,3600
5796585808,brentwood,3199,5,4,3303
pre2013_9338,brentwood,1600,3,2.5,1480
pre2013_14845,brentwood,1600,4,2,1870
5784392939,brentwood,2285,4,2,1506
6531234342,brentwood,2750,4,3,3080
4238656769,brentwood,2800,7,5,4351
4240930141,brentwood,2800,7,5,4351
pre2013_33754,brentwood,2750,5,3,3364
4785411958,brentwood,2200,4,1,2800
4966930840,brentwood,1475,1,1,740
pre2013_60136,brentwood,1490,3,2.5,1440
6388383640,brentwood,2200,3,2.5,1555
5547538203,brentwood,1000,1,1,585
pre2013_60566,brentwood,2250,4,3,2200
5489900588,brentwood,1950,3,2,1148
pre2013_2564,brentwood,2100,5,4,3350
pre2013_49647,brentwood,1550,3,2,1200
pre2013_49668,brentwood,1550,3,2,1200
6566216611,brentwood,2700,4,2,1964
pre2013_43320,brentwood,2300,4,3,2951
pre2013_11483,brentwood,1995,4,3,3000
6527053917,brentwood,2780,4,3,3080
pre2013_63364,brentwood,2050,4,3,2023
5549000292,brentwood,1849,1,1,850
4656166051,brentwood,1950,4,2,2012
pre2013_40435,brentwood,1875,3,2,1599
pre2013_121636,brentwood,1750,3,2.5,1800
pre2013_78735,brentwood,2400,4,3,2700
5395413365,brentwood,2275,2,2,1734
5419053230,brentwood,2606,2,2,1096
pre2013_15543,brentwood,1550,3,2,1170
pre2013_19415,brentwood,2450,6,4,3950
pre2013_45610,brentwood,2300,4,3,2955
pre2013_10755,brentwood,2000,5,3,2500
5527078466,brentwood,1811,1,1,820
pre2013_44531,brentwood,2200,4,3,2700
5520939550,brentwood,1950,3,2,1148
pre2013_59768,brentwood,2100,4,2,2306
4935255756,brentwood,1675,2,2,1022
pre2013_21068,brentwood,1850,3,2,2012
pre2013_34228,brentwood,2200,5,4,3068
pre2013_14385,brentwood,2600,4,3.5,3700
4855549864,brentwood,2699,4,2.5,3004
4095917048,brentwood,2295,4,3,2229
pre2013_34720,brentwood,1700,3,2,2000
4640286418,brentwood,2150,3,3,2067
pre2013_51919,brentwood,1995,4,2,2213
pre2013_45237,brentwood,1700,3,2,1500
pre2013_41276,brentwood,2400,5,3,2920
pre2013_58123,brentwood,2800,5,4,3394
pre2013_42090,brentwood,2395,4,3,2950
pre2013_71509,brentwood,2200,4,2,2200
